Samples	1l	2l	0l	1l_sys	2l_sys	0l_sys	1l_lrj	1l_jer	2l_jer
mc16_13TeV.364213.Sherpa_221_NN30NNLO_Ztt_Mll10_40_MAXHTPTV70_280_BFilter.deriv.DAOD_TOPQ1.e5421_s3126_r9781_p3390	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364214.Sherpa_221_NN30NNLO_Ztt_Mll10_40_MAXHTPTV280_E_CMS_BVeto.deriv.DAOD_TOPQ1.e5421_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364215.Sherpa_221_NN30NNLO_Ztt_Mll10_40_MAXHTPTV280_E_CMS_BFilter.deriv.DAOD_TOPQ1.e5421_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
									
### diboson_mc16c									
mc16_13TeV.364288.Sherpa_222_NNPDF30NNLO_llll_lowMllPtComplement.deriv.DAOD_TOPQ1.e6096_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364289.Sherpa_222_NNPDF30NNLO_lllv_lowMllPtComplement.deriv.DAOD_TOPQ1.e6133_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364290.Sherpa_222_NNPDF30NNLO_llvv_lowMllPtComplement.deriv.DAOD_TOPQ1.e6096_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364284.Sherpa_222_NNPDF30NNLO_lllvjj_EW6.deriv.DAOD_TOPQ1.e6055_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.364287.Sherpa_222_NNPDF30NNLO_llvvjj_ss_EW6.deriv.DAOD_TOPQ1.e6055_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.345705.Sherpa_222_NNPDF30NNLO_ggllll_0M4l130.deriv.DAOD_TOPQ1.e6213_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.345706.Sherpa_222_NNPDF30NNLO_ggllll_130M4l.deriv.DAOD_TOPQ1.e6213_a875_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
mc16_13TeV.345723.Sherpa_222_NNPDF30NNLO_ggllvvZZ.deriv.DAOD_TOPQ1.e6213_s3126_r9781_p3404	N	N	N	Y	Y	N	Y	Y	Y
									
### Hplus_mc16c									
